nome,territorio,intencao_sonora,por_que_entra_na_rodada,risco_inicial,beleza_sonora,facilidade_popular,credibilidade_profissional,plataforma_ampla,calor_humano,distintividade,risco_preliminar,score_total
Aviva,Vida em movimento,aberto luminoso e humano,Curto internacional e com energia de vida sem parecer técnico; funciona para profissionais e público geral,provável uso prévio elevado,8.0,8.5,7.0,7.0,7.0,6.5,6.0,7.21
Viora,Vida e orientação,macio e premium,Soa bonito mas já foi problemático na rodada anterior; mantido apenas como controle,rejeitar se conflito confirmado,8.0,8.5,7.0,7.0,7.0,6.5,6.0,7.21
Orbia,Ecossistema humano,redondo e feminino,Mais acolhedor que Orbe; sugere plataforma ampla e mundo de cuidado,possível uso em marcas globais,8.0,8.5,7.0,7.0,7.0,6.5,6.0,7.21
Curae,Cuidado sofisticado,latino médico e premium,Remete a cura/care com aparência internacional,pronúncia ambígua,8.0,8.5,7.0,7.0,7.0,6.5,6.0,7.21
Viora,Controle interno,macio premium,Mantido só como benchmark já descartado por conflito,conflito direto anterior,8.0,8.5,7.0,7.0,7.0,6.5,6.0,7.21
Viela,Caminho próximo,brasileiro e acolhedor,Sugere caminho humano de bairro e acesso,pode soar pequeno demais,8.0,8.5,7.0,7.0,7.0,6.5,6.0,7.21
Livia,Vida humana,clássico leve e confiável,Nome próprio bonito com raiz de vida,pode confundir com pessoa,8.0,8.5,7.0,7.0,7.0,6.5,6.0,7.21
Levia,Leveza proprietária,macio elegante e claro,Boa sonoridade; tecnologia gentil e cuidado acessível,precisa checagem,8.0,8.5,7.0,7.0,7.0,6.5,6.0,7.21
Nouri,Nutrição e cuidado,curto internacional e macio,Remete a nourish; bom para nutrição e wellness,inglês demais,8.0,8.5,7.0,7.0,7.0,6.5,6.0,7.21
Nuria,Luz e cuidado,macio e internacional,Bonito e memorável,mas pode soar estrangeiro/nome próprio,8.0,8.5,7.0,7.0,7.0,6.5,6.0,7.21
Mirai,Futuro em japonês,tecnológico e belo,Bonito mas menos popular; remete futuro,pronúncia pode variar,8.0,8.5,7.0,7.0,7.0,6.5,6.0,7.21
Aleva,Elevar e aliviar,curto aberto e positivo,Evoca melhora e suporte; fácil e bonito,precisa checagem,8.0,8.5,7.0,7.0,7.0,6.5,6.0,7.21
Soma,Integralidade corpo e união,curto forte e universal,Remete ao corpo e ao conjunto; cabe em saúde integrativa IA e marketplace,uso prévio alto,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Nexo,Conexão e inteligência,preciso profissional e simples,Expressa conexão entre médico paciente produto e IA; forte para plataforma,uso prévio alto,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Orbe,Círculo e ecossistema,curto redondo e sofisticado,Comunica mundo/ecossistema de saúde em torno da pessoa,mais abstrato para público popular,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Claria,Clareza proprietária,claro suave e técnico-humano,Mais marcável que Clara; comunica orientação e compreensão,precisa checagem,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Bema,Bem-estar simplificado,curto e amigável,Fácil para todo público e visualmente limpo,pode soar pequeno demais,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Bemora,Bem-estar e morada,caloroso amplo e memorável,Sugere lugar de bem-estar e cuidado; plataforma como casa confiável,precisa checagem,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Mora,Presença e casa,curto delicado e humano,Parece próximo e acolhedor; bom para plataforma de rotina,abstrato demais,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Curare,Cuidado clássico,latino fluido e médico,Tem base de curar/cuidado e tom profissional,associação farmacológica indesejada,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Sana,Saúde latina,curto limpo e universal,Bonito e óbvio sem ser pesado,uso global muito alto,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Sanora,Saúde sonora,fluido e confiável,Sugere saúde e orientação com boa musicalidade,possível uso prévio,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Pontia,Ponte proprietária,macio e plataforma,Variação mais marcável de Ponte com tom feminino,precisa checagem,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Nona,Sabedoria familiar,curto humano e popular,Remete a cuidado familiar e tradição,pode parecer restaurante/família italiana,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Meya,Meio e mediação,curto suave e moderno,Sugere mediação entre pessoas e cuidado,precisa checagem,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Nortia,Direção proprietária,claro feminino e leve,Cria marca de orientação sem literalidade excessiva,precisa checagem,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Ruma,Direção feminina,curto e simples,Variação mais proprietária com som aberto,pode soar estranho,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Rotina,Cuidado cotidiano,popular e simples,Saúde como hábito do dia a dia,pouco premium,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Natura,Cuidado natural,forte e conhecido,Excelente semântica mas inviável por marca famosa,descartar,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Essena,Essência simplificada,macio e premium,Mais acessível que Essenza,precisa checagem,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Arvo,Árvore e vida,curto natural e forte,Evoca vida crescimento e raízes com som escandinavo/latino,precisa checagem,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Árvore,Vida e ecossistema,brasileiro simbólico e bonito,Plataforma como árvore de cuidado; universal e caloroso,longo e acento,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Bosque,Natureza e acolhimento,calmo brasileiro e memorável,Sensação de lugar seguro e vivo,pode parecer hotel/escola,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Domo,Proteção e espaço,curto forte e arquitetônico,Sugere abrigo/ecossistema tecnológico,menos caloroso,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Velo,Movimento e leveza,curto elegante,Não comunica saúde diretamente mas soa premium,abstrato,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Seguro,Proteção,claro e popular,Pode gerar confiança,mas parece seguro/insurance,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Nosa,Coletividade proprietária,curto humano e macio,Sugere nós/nossa com marca curta,pode parecer erro ortográfico,7.8,8.5,7.0,7.0,7.0,6.5,6.0,7.18
Mãe,Cuidado primordial,fortíssimo e popular,Extremamente emocional e universal,pode restringir e gerar complexidade,8.1,8.1,7.0,7.0,7.0,6.5,6.0,7.16
Alívio,Cuidado imediato,popular emocional e claro,Promessa forte para saúde e orientação,acentos e pode soar remédio,8.1,8.1,7.0,7.0,7.0,6.5,6.0,7.16
Sabiá,Brasilidade inteligente,memorável musical e popular,Nome brasileiro bonito fácil de falar e associado a canto leveza e inteligência,acento e muitos usos culturais,8.0,8.1,7.0,7.0,7.0,6.5,6.0,7.15
Acolá,Lugar de cuidado,brasileiro curioso e leve,Sugere lugar próximo com calor humano e diferença sonora,risco de informalidade,8.0,8.1,7.0,7.0,7.0,6.5,6.0,7.15
Raíza,Raiz com assinatura,brasileiro bonito e humano,Tem força natural e som de nome próprio,acento e checagem,8.0,8.1,7.0,7.0,7.0,6.5,6.0,7.15
Lévia,Leveza com assinatura,belo e feminino,Acento dá refinamento; soa como nome próprio,acento e checagem,8.0,8.1,7.0,7.0,7.0,6.5,6.0,7.15
Clara,Transparência e entendimento,limpo familiar e confiável,Promessa de clareza em saúde e IA; ótimo para confiança popular,uso muito alto como nome próprio e marcas,7.6,8.5,7.0,7.0,7.0,6.5,6.0,7.14
Bemma,Bem-estar proprietario,macio feminino e simples,Sugere bem-estar com forma de marca curta e humana,precisa checagem,7.6,8.5,7.0,7.0,7.0,6.5,6.0,7.14
Salva,Proteção vital,forte emocional e simples,Tem energia de ajuda imediata e cuidado,pode soar emergencial demais,7.6,8.5,7.0,7.0,7.0,6.5,6.0,7.14
Toddo,Todos com marca,curto popular e proprietário,Variação visual de todo; fácil e inclusivo,pode parecer startup genérica,7.6,8.5,7.0,7.0,7.0,6.5,6.0,7.14
Junta,Comunidade,informal e brasileira,Simples mas talvez inadequado para saúde profissional,baixo premium,7.6,8.5,7.0,7.0,7.0,6.5,6.0,7.14
Ritmo,Hábito e vida,curto dinâmico e humano,Saúde como equilíbrio de rotina,pode parecer música/fitness,7.6,8.5,7.0,7.0,7.0,6.5,6.0,7.14
Pulso,Vida e tecnologia,forte médico e humano,Excelente ligação com vida, saúde e monitoramento pode soar clínico/financeiro,7.6,8.5,7.0,7.0,7.0,6.5,6.0,7.14
Terra,Cuidado natural e amplo,simples forte e popular,Conecta natureza, vida e confiança pode parecer agro/imobiliário,7.6,8.5,7.0,7.0,7.0,6.5,6.0,7.14
Livra,Libertar e cuidar,forte mas ambíguo,Sugere aliviar e remover barreiras,pode remeter a livrar de doença,7.6,8.5,7.0,7.0,7.0,6.5,6.0,7.14
Cerca,Proteção,simples mas ambíguo,Protege e aproxima mas pode soar barreira,semântico ambíguo,7.6,8.5,7.0,7.0,7.0,6.5,6.0,7.14
Cassa,Variação proprietária de casa,curto macio e premium,Preserva familiaridade com distintividade,pode associar a caça/cassa,7.6,8.5,7.0,7.0,7.0,6.5,6.0,7.14
Sopro,Vida e respiração,poético e humano,Evoca vida leveza e cuidado,pode soar frágil,7.6,8.5,7.0,7.0,7.0,6.5,6.0,7.14
Verda,Verdade e vida,curto suave e natural,Sugere verdade + verde/vida; marca proprietária possível,precisa checagem,7.6,8.5,7.0,7.0,7.0,6.5,6.0,7.14
Digno,Respeito e acesso,forte humano e ético,Saúde digna para todos; belo conceito social,pode soar institucional,7.6,8.5,7.0,7.0,7.0,6.5,6.0,7.14
Trilha,Jornada de cuidado,brasileiro claro e saudável,Bom para jornada do paciente e profissional,pode soar app de educação/fitness,7.5,8.5,7.0,7.0,7.0,6.5,6.0,7.13
Vivá,Vitalidade com assinatura,aberto brasileiro e marcante,Acento cria marca mais sonora e alegre sem perder simplicidade,acento pode limitar digital,7.8,8.1,7.0,7.0,7.0,6.5,6.0,7.11
Saná,Saúde com assinatura,curto brasileiro e sonoro,Acento dá personalidade e facilita fala brasileira,acento e uso,7.8,8.1,7.0,7.0,7.0,6.5,6.0,7.11
Laço,Relação singular,curto afetivo e brasileiro,Conecta pessoas sem parecer tecnológico,pode lembrar Doutorelo/elo,7.8,8.1,7.0,7.0,7.0,6.5,6.0,7.11
Mirá,Direção com assinatura,curto brasileiro e sonoro,Acento cria marca falada e memorável,acento e checagem,7.8,8.1,7.0,7.0,7.0,6.5,6.0,7.11
Florá,Natureza e vitalidade,curto macio e memorável,Associa saúde integrativa e vida natural sem ser suplemento,acento e uso provável,7.6,8.1,7.0,7.0,7.0,6.5,6.0,7.08
Nina,Proximidade e cuidado,curto doce e humano,Muito fácil e afetuoso; pode virar assistente IA,soa infantil/nome próprio,7.8,8.5,6.3,7.0,7.0,6.5,6.0,7.07
Raiz,Cuidado essencial,brasileiro forte e natural,Comunica base saúde integrativa e autenticidade,uso comum,7.2,8.5,7.0,7.0,7.0,6.5,6.0,7.07
Cuidê,Cuidado com assinatura,leve brasileiro e memorável,Mais proprietário que Cuida e com oralidade simpática,acento e possível infantilização,8.0,8.1,6.3,7.0,7.0,6.5,6.0,7.04
Salus,Saúde clássica,latino institucional e premium,Credibilidade profissional e história sem ser genérico,menos popular para dona Maria,7.0,8.5,7.0,7.0,7.0,6.5,6.0,7.04
Serenae,Serenidade proprietária,premium e suave,Tenta diferenciar Serena mantendo beleza,pronúncia pode variar,7.9,7.5,7.0,7.0,7.0,6.5,6.0,7.04
Seres,Humanidade coletiva,curto plural e filosófico,Abraça profissionais e pacientes como pessoas antes de papéis,abstrato,7.0,8.5,7.0,7.0,7.0,6.5,6.0,7.04
Inteiro,Integralidade humana,brasileiro e caloroso,Nome humano para cuidado da pessoa inteira; forte conceito,pode soar adjetivo,7.9,7.5,7.0,7.0,7.0,6.5,6.0,7.04
Ninho,Acolhimento e proteção,caloroso popular e memorável,Saúde como lugar seguro; pode funcionar muito bem para famílias,pode soar infantil,7.6,8.5,6.3,7.0,7.0,6.5,6.0,7.04
Vital,Vida e saúde,claro e profissional,Fácil e confiável,pouco distintivo,7.0,8.5,7.0,7.0,7.0,6.5,6.0,7.04
Vitar,Verbo vital,curto e ativo,Inventa ação de viver melhor,pode soar neologismo estranho,7.0,8.5,7.0,7.0,7.0,6.5,6.0,7.04
Domus,Casa e confiança,latino institucional,Profissional e sólido; casa de saúde e cuidado,menos popular,7.0,8.5,7.0,7.0,7.0,6.5,6.0,7.04
Velar,Cuidar e proteger,verbo nobre e profissional,Significa cuidar/vigiar; excelente semântica,menos popular e associa funeral,7.0,8.5,7.0,7.0,7.0,6.5,6.0,7.04
Verus,Verdade institucional,latino forte e profissional,Boa credibilidade; menos popular mas simples,uso provável,7.0,8.5,7.0,7.0,7.0,6.5,6.0,7.04
Guia,Orientação,curto simples e confiável,Promessa central de IA e profissionais: orientar sem substituir,genérico alto,8.1,8.5,7.0,7.0,7.0,5.5,5.4,7.03
Via,Canal e caminho,curto universal e elegante,Ótimo para plataforma: via de acesso ao cuidado,genérico alto,8.1,8.5,7.0,7.0,7.0,5.5,5.4,7.03
Vitae,Vida clássica,premium e internacional,Profissional e bonito,mas menos popular e uso alto,8.0,8.5,7.0,7.0,7.0,6.5,4.6,7.02
Florir,Crescimento,poético e brasileiro,Saúde como florescer; bonito e fácil,pode soar wellness demais,6.9,8.5,7.0,7.0,7.0,6.5,6.0,7.02
Anima,Vida e alma,clássico forte e humano,Evoca vitalidade e animação; sofisticado e popularizável,uso alto,8.0,8.5,7.0,7.0,7.0,6.5,4.6,7.02
Ânima,Vida e alma,profundo premium e humano,Mais distinto visualmente,acento e uso alto,8.0,8.5,7.0,7.0,7.0,6.5,4.6,7.02
Eleva,Elevação de saúde,claro premium e positivo,Profissionais gostam; público entende melhora,uso alto,8.0,8.5,7.0,7.0,7.0,6.5,4.6,7.02
Cuida,Cuidado direto,simples e cotidiano,Muito acessível e verbal; fácil em frases de uso,genérico e pouco premium,8.0,8.5,7.0,7.0,7.0,5.5,5.4,7.01
Maná,Nutrição e cuidado,curto sonoro e popular,Evoca alimento/cuidado recebido; bom para nutrição integrativa,religioso e acento,7.8,8.1,6.3,7.0,7.0,6.5,6.0,7.01
Íntegra,Confiança e integralidade,ético e profissional,Excelente para credibilidade; sugere integridade e cuidado integral,acento e uso prévio alto,7.7,7.5,7.0,7.0,7.0,6.5,6.0,7.0
Vincula,Conexão ativa,profissional e claro,Verbo de plataforma; conecta pessoas e cuidados,pode soar jurídico,7.7,7.5,7.0,7.0,7.0,6.5,6.0,7.0
Essenza,Essência premium,sofisticado sensorial e amplo,Sugere saúde integrativa e curadoria premium,pode soar cosmético/italiano,7.7,7.5,7.0,7.0,7.0,6.5,6.0,7.0
Harmona,Harmonia proprietária,macio e premium,Mais marcável que Harmonia; soa saúde integral,precisa checagem,7.7,7.5,7.0,7.0,7.0,6.5,6.0,7.0
Equilibra,Equilíbrio ativo,claro e profissional,Boa promessa para medicina integrativa e nutrição,uso comum,7.9,7.5,7.0,7.0,7.0,6.2,6.0,7.0
Respiro,Alívio e cuidado,popular e emocional,Saúde que dá respiro; forte para vida cotidiana,pode restringir a respiração,7.7,7.5,7.0,7.0,7.0,6.5,6.0,7.0
Entenda,Clareza popular,verbo direto e humano,Muito aderente à IA que explica saúde,pouco marca premium,7.7,7.5,7.0,7.0,7.0,6.5,6.0,7.0
Certeza,Segurança popular,forte mas talvez absoluto,Saúde não deve prometer certeza clínica,risco regulatório,7.7,7.5,7.0,7.0,7.0,6.5,6.0,7.0
Lumina,Luz e clareza,belo luminoso e clássico,Evoca orientação e inteligência sem frieza tecnológica,uso alto,7.8,8.5,7.0,7.0,7.0,6.5,4.6,6.98
Alma,Humanidade e essência,profundo simples e popular,Abraça profissionais e usuários por uma dimensão humana e calorosa,uso alto e possível espiritualidade,7.8,8.5,7.0,7.0,7.0,6.5,4.6,6.98
Amparo,Proteção e confiança,forte brasileiro e acolhedor,Palavra de segurança popular e profissional; excelente para saúde e cuidado,genérico mas forte,7.8,8.5,7.0,7.0,7.0,5.5,5.4,6.98
Acolhe,Acolhimento,verbo simples e humano,Comunica inclusão da dona Maria ao médico; plataforma que acolhe,descritivo e comum,7.8,8.5,7.0,7.0,7.0,5.5,5.4,6.98
Laços,Relação e confiança,brasileiro bonito e humano,Evoca vínculo entre profissional paciente e família,acento e uso comum,7.0,8.1,7.0,7.0,7.0,6.5,6.0,6.98
Rumo,Direção cotidiana,curto popular e otimista,Ajuda pessoas a encontrarem caminho de saúde,genérico,7.8,8.5,7.0,7.0,7.0,5.5,5.4,6.98
Vita,Vida simples,curto universal e positivo,Muito forte mas extremamente usado,uso altíssimo,7.8,8.5,7.0,7.0,7.0,6.5,4.6,6.98
Vila,Cuidado próximo,curto popular e humano,Plataforma como lugar de confiança local,uso alto e imobiliário,7.8,8.5,7.0,7.0,7.0,6.5,4.6,6.98
Casa,Casa e acolhimento,máximo familiar e simples,Fortíssimo para dona Maria e família; plataforma de confiança,genérico alto,7.8,8.5,7.0,7.0,7.0,5.5,5.4,6.98
Nora,Luz e cuidado humano,curto clássico e familiar,Fácil para todos, bonito e confiável nome próprio e uso alto,7.8,8.5,7.0,7.0,7.0,6.5,4.6,6.98
Mira,Direção e cuidado,curto lindo e universal,Significa olhar, objetivo e mira; bom para IA que orienta uso alto,7.8,8.5,7.0,7.0,7.0,6.5,4.6,6.98
Vela,Cuidado e guia,curto poético e humano,Remete a vigiar/cuidar e luz; bonito e simples,uso alto e ambiguidade com objeto,7.8,8.5,7.0,7.0,7.0,6.5,4.6,6.98
Vera,Verdade e confiança,curto clássico e universal,Comunica verdade e transparência em IA/saúde,nome próprio e uso alto,7.8,8.5,7.0,7.0,7.0,6.5,4.6,6.98
Confia,Confiança direta,verbo popular e claro,Promessa essencial para saúde digital,genérico e pouco premium,7.8,8.5,7.0,7.0,7.0,5.5,5.4,6.98
Humano,Cuidado humano,simples e universal,Boa contraposição à IA fria,uso alto,7.8,8.5,7.0,7.0,7.0,6.5,4.6,6.98
Floresce,Crescimento e cuidado,bonito popular e positivo,Evoca evolução de saúde e bem-estar de forma humana,longo e comum,7.5,7.5,7.0,7.0,7.0,6.5,6.0,6.97
Fiel,Confiança e compromisso,curto popular e forte,Nome de confiança para saúde e marketplace,pode soar religioso/bancário,7.2,8.5,6.3,7.0,7.0,6.5,6.0,6.97
Ser Saúde,Humanidade e saúde,claro e humano,Frase simples com duplo sentido de ser e saúde,pouco proprietário,7.8,7.1,7.0,7.0,7.0,6.5,6.0,6.96
Nós,Coletividade e vínculo,mínimo emocional e popular,Fortíssimo em comunidade e inclusão,caracteres/uso e genericidade,6.9,8.1,7.0,7.0,7.0,6.5,6.0,6.96
Plena,Completude e bem-estar,curto belo e popular,Entendido por todos; aspira saúde integral,uso alto,7.6,8.5,7.0,7.0,7.0,6.5,4.6,6.95
Pleno,Completude profissional,curto confiável e amplo,Mais institucional; cabe para profissionais e usuários,uso alto,7.6,8.5,7.0,7.0,7.0,6.5,4.6,6.95
Circa,Em torno de todos,curto sofisticado e redondo,Sugere cuidado ao redor; mais premium que círculo,possível uso alto,7.6,8.5,7.0,7.0,7.0,6.5,4.6,6.95
Prana,Energia vital,curto espiritual e wellness,Bonito para integrativa mas talvez místico demais,uso alto,7.6,8.5,7.0,7.0,7.0,6.5,4.6,6.95
Brisa,Leveza e acolhimento,belo simples e brasileiro,Nome fácil e agradável; saúde sem peso,uso alto e pode soar leve demais,7.6,8.5,7.0,7.0,7.0,6.5,4.6,6.95
Nobre,Cuidado elevado,popular e premium,Comunica respeito e qualidade para profissionais,uso alto e talvez elitista,7.6,8.5,7.0,7.0,7.0,6.5,4.6,6.95
Vínculo,Confiança profissional,profundo e humano,Ótimo conceito para cuidado continuado e marketplace,acento e palavra longa,7.7,7.1,7.0,7.0,7.0,6.5,6.0,6.94
Balanço,Equilíbrio popular,brasileiro claro e humano,Saúde como equilíbrio de vida,pode parecer financeiro/música,7.7,7.1,7.0,7.0,7.0,6.5,6.0,6.94
Nora Saúde,Cuidado familiar,claro e humano,Assinatura de saúde amplia entendimento,risco de nome próprio,7.9,7.1,7.0,7.0,7.0,6.2,6.0,6.94
Aura,Presença e bem-estar,curto sensorial e universal,Bonito e humano; saúde como presença e energia,uso alto e pode soar místico,8.1,8.5,6.3,7.0,7.0,6.5,4.6,6.93
Prisma,Clareza e múltiplas perspectivas,profissional e bonito,Sugere IA e visão integral sobre a saúde,uso alto e menos popular,7.5,8.5,7.0,7.0,7.0,6.5,4.6,6.93
Guiar,Orientação ativa,verbo simples e profissional,Boa para plataforma de cuidado assistido,genérico,7.4,8.5,7.0,7.0,7.0,5.5,5.4,6.91
Totalis,Integralidade premium,latino e institucional,Comunica cuidado completo e ecossistema,menos popular,7.1,7.5,7.0,7.0,7.0,6.5,6.0,6.9
