name,territory,rationale,preliminary_risk
Orqia,Inteligência invisível,Orquestração + IA disfarçada; curto e tecnológico.,Grafia pode gerar dúvida de pronúncia.
Sensia,Inteligência invisível,Sense + IA; percepção inteligente aplicada ao cuidado.,IA explícito no final pode ser percebido como ferramenta.
Axora,Inteligência invisível,Eixo + aurora; núcleo que organiza decisões.,Pode soar B2B ou corporativo.
Datara,Inteligência invisível,Data + aura; dados com cuidado humano.,Data é literal e pode esfriar a marca.
Metria,Inteligência invisível,Métrica + harmonia; saúde mensurada e precisa.,Pode parecer software analítico.
Algora,Inteligência invisível,Algoritmo + ora; IA como orientação.,Pode soar técnico demais.
Aivora,Inteligência invisível,AI/IA + aurora; inteligência luminosa.,AI fica evidente; risco de envelhecimento.
Cognia,Inteligência invisível,Cognição + IA; autoridade intelectual.,Pode ser comum em edtech/AI.
Sinalis,Inteligência invisível,Sinal + sufixo premium; detecta, guia e recomenda.,Pode soar telecom se mal posicionado.
Veyra,Inteligência invisível,Verdade + era; clareza inteligente e premium.,Neologismo requer validação semântica.
Nexiva,Conexão e marketplace,Nexus + vida; plataforma conectiva de saúde.,Pode parecer SaaS B2B.
Orbia,Conexão e marketplace,Órbita + IA; ecossistema com centro e satélites.,Pode existir em indústrias ou agro.
Cirqa,Conexão e marketplace,Círculo + qualidade; rede curada e fechada.,Grafia com Q pode parecer forçada.
Tessera,Conexão e marketplace,Mosaico/peça que compõe o todo; ecossistema.,Nome longo e já usado em várias categorias.
Meshia,Conexão e marketplace,Mesh + IA; rede inteligente de serviços e produtos.,Mesh é técnico; IA final é evidente.
Curava,Conexão e marketplace,Cura + curadoria + viva; ligação entre cuidado e oferta.,Cura pode trazer promessa médica sensível.
Linkora,Conexão e marketplace,Link + aurora; herda ideia de elo com mais sofisticação.,Link é literal e tecnológico.
Nodora,Conexão e marketplace,Nó/rede + aurora; pontos conectados em cuidado.,Pode lembrar nódulo em saúde se mal interpretado.
Vincra,Conexão e marketplace,Vínculo + curadoria; conexão proprietária.,Grafia áspera; precisa teste fonético.
Elara,Conexão e marketplace,Ela + aura; humano, feminino, fluido e astral.,Nome existente em múltiplas categorias.
Kairis,Conexão e marketplace,Kairos + íris; momento certo e visão.,Pode soar grego/abstrato demais.
Redia,Conexão e marketplace,Rede + IA; conexão inteligente.,Pode soar literal e próximo de rede social.
Caira,Cuidado humano premium,Care + aura; cuidado próximo e elegante.,Pode ser nome próprio e ter usos existentes.
Ampara,Cuidado humano premium,Amparo em forma proprietária; confiança imediata.,Palavra comum em PT; baixa globalização.
Serena,Cuidado humano premium,Calma, segurança e cuidado premium.,Muito comum e possivelmente saturado.
Nalia,Cuidado humano premium,Nome humano curto, acolhedor e globalizável.,Sem significado imediato; exige construção.
Mavie,Cuidado humano premium,Ma vie + minha vida; cuidado pessoal premium.,Pode estar saturado em moda/beleza.
Liora,Cuidado humano premium,Nome hebraico associado a luz; humano e positivo.,Pode ter usos numerosos.
Aviva,Cuidado humano premium,Vida/renovação; sonoro e memorável.,Marca existente em seguros; alto risco.
Belora,Cuidado humano premium,Belo + aurora; saúde com estética premium.,Pode tender a beleza/cosmético.
Anara,Cuidado humano premium,Som humano, leve e memorável; acolhimento.,Risco de nomes próprios e baixa distintividade.
Olivra,Cuidado humano premium,Oliva + vida; natural, mediterrâneo, premium.,Pode ser confundido com Olivia/oliveira.
Mirela,Cuidado humano premium,Nome humano familiar e suave.,Pode parecer pessoa, não ecossistema tecnológico.
Coviva,Cuidado humano premium,Co + viver; cuidado compartilhado.,Pode lembrar Covid por início “Cov”.
Orya,Neologismo curto,Quatro letras, som aberto e premium; campo próprio.,Muito abstrato; precisa narrativa visual forte.
Veyra,Neologismo curto,Curto, visualmente forte e com sensação de verdade/era.,Precisa checagem por usos existentes.
Auvra,Neologismo curto,Aura + vibração; som proprietário e futurista.,Grafia pode ser difícil.
Elyra,Neologismo curto,Elo distante + Lyra; musical, humano e premium.,Lyra é usado em saúde mental.
Nuvya,Neologismo curto,Nuvem + via; digital e leve.,Pode ser lido como “núvia”.
Oriva,Neologismo curto,Origem + vida; fluido e expansível.,Pode existir em produtos/serviços variados.
Zelora,Neologismo curto,Zelo + aurora; cuidado com brilho premium.,Zelo é positivo em PT; pode soar menos global.
Sorya,Neologismo curto,Sol/surya + aura; energia vital global.,Pode parecer espiritual/indiano.
Ivara,Neologismo curto,Nome forte, simples, premium e internacional.,Risco de nomes próprios/marcas existentes.
Avara,Neologismo curto,Aura + vara/valor; amplo e memorável.,Em português “avara” significa mesquinha; alto risco.
Ovela,Neologismo curto,Oval/aura; forma orgânica e memorável.,Pode soar como ovelha em PT; risco alto.
Lyvra,Neologismo curto,Life + livro/curadoria; plataforma de conhecimento e vida.,Grafia com Y pode parecer startup forçada.
Arcora,Arquitetura/ecossistema,Arc + aurora; infraestrutura luminosa de saúde.,Pode soar corporativo/arquitetônico.
Havena,Arquitetura/ecossistema,Haven + vida; refúgio premium de cuidado.,Haven é muito usado; grafia híbrida.
Atlora,Arquitetura/ecossistema,Atlas + aurora; navegação da jornada de saúde.,Pode lembrar Atlassian/Atlas.
Civora,Arquitetura/ecossistema,Cidade/vivo + aurora; ecossistema habitável.,Pode soar institucional.
Navia,Arquitetura/ecossistema,Navegação + via; guia de cuidado inteligente.,Nome já muito usado em tech e transporte.
Estara,Arquitetura/ecossistema,Estar + aura; destino de presença e bem-estar.,Pode ser confundido com “estará”.
Realmia,Arquitetura/ecossistema,Realm + IA; ambiente digital de saúde.,Muito inglês e IA explícito.
Vianova,Arquitetura/ecossistema,Via nova; nova rota de saúde.,Duas palavras fundidas; pode soar descritivo.
Domora,Arquitetura/ecossistema,Domus + aurora; casa inteligente do cuidado.,Pode soar imobiliário.
Orienta,Arquitetura/ecossistema,Orientação clara de saúde; fácil de entender.,Palavra comum e descritiva; baixa defesa.
Navea,Arquitetura/ecossistema,Nave + via; jornada futurista e leve.,Pode ser confundido com Nivea.
Centrada,Arquitetura/ecossistema,Centro/centrar; ecossistema coordenado.,Descritivo e menos global.
